review,guest_satisfaction_overall,accuracy_rating,cleanliness_rating,location_rating,value_rating,new_price,log_price
30,96,10,9,10,9,102.66666412353516,-0.11676086485385896
90,95,10,10,9,9,102.83333587646484,-0.11426293104887009
93,95,10,10,9,9,105,-0.0821562185883522
96,95,10,10,9,9,103,-0.1117694079875946
99,91,10,10,9,9,101.83333587646484,-0.1293099969625473
100,94,10,10,9,9,101.83333587646484,-0.1293099969625473
102,94,10,10,9,9,102.83333587646484,-0.11426293104887009
105,94,10,10,9,9,100.66666412353516,-0.14705397188663483
107,94,10,10,9,9,108.16666412353516,-0.03640266135334968
110,94,10,10,9,9,107,-0.053101796656847
111,94,10,10,9,9,108.16666412353516,-0.03640266135334968
112,94,10,10,9,9,105,-0.0821562185883522
114,94,10,10,9,9,103.83333587646484,-0.09936125576496124
114,94,10,10,9,9,102.66666412353516,-0.11676086485385896
115,94,10,10,9,9,97.16666412353516,-0.2015444189310074
115,94,10,10,9,9,90.16666412353516,-0.31667467951774597
115,94,10,10,9,9,90.16666412353516,-0.31667467951774597
116,94,10,10,9,9,93.5,-0.26077592372894287
119,94,10,10,9,9,92.33333587646484,-0.28011029958724976
120,94,10,10,9,9,92.33333587646484,-0.28011029958724976
205,93,10,10,9,9,75.83333587646484,-0.5832550525665283
13,98,10,10,10,9,94,-0.2525632977485657
18,98,10,10,10,9,96,-0.22014454007148743
24,97,10,10,10,9,94,-0.2525632977485657
26,98,10,10,10,9,94,-0.2525632977485657
42,97,9,10,10,10,90.83333587646484,-0.30533120036125183
54,97,10,10,10,10,90.83333587646484,-0.30533120036125183
58,96,10,9,10,10,88.66666412353516,-0.34250718355178833
58,96,10,9,10,10,86.66666412353516,-0.3776375651359558
58,96,10,9,10,10,85.66666412353516,-0.3955085575580597
63,96,10,10,10,10,80.33333587646484,-0.4944881796836853
64,96,9,10,10,10,81.5,-0.47228655219078064
70,96,9,10,10,10,81.5,-0.47228655219078064
73,96,9,10,10,10,81.33333587646484,-0.4754387140274048
78,96,9,10,10,9,83.5,-0.4349548816680908
83,95,9,9,10,9,83.5,-0.4349548816680908
90,95,10,9,10,9,87.83333587646484,-0.3570476174354553
108,98,10,10,10,10,95.5,-0.22818534076213837
119,98,10,10,10,10,133.3333282470703,0.2856997847557068
119,98,10,10,10,10,132.3333282470703,0.2741073966026306
66,98,10,10,10,10,63,-0.8687468767166138
68,98,10,10,10,10,61,-0.9184235334396362
68,98,10,10,10,10,61,-0.9184235334396362
68,98,10,10,10,10,62,-0.8933847546577454
68,97,10,10,10,10,60,-0.9438757300376892
68,97,10,10,10,10,60,-0.9438757300376892
